year_start,name,name_unified,corrected_id,corrected_label,born,source,link_notes,other_notes
1760,15008766,"Millar, A.",,"Millar, Andrew",Scotland,Y,,
1760,9738510,"Morley, A.",,,England,N,,
1760,robertmundell_0,"MUNDELL, Robert",,,Scotland,N,,
1760,282772606,"Murray, J.",,"Murray, John I",Scotland,Y,BBTI,
1760,jamesmurray_0,"MURRAY, Murray",282772606,"Murray, John I",Scotland,Y,,
1760,bbti_112341,"MURRAY, Murray",282772606,"Murray, John I",Scotland,Y,,
1760,67305318,"MURRAY, Murray",282772606,"Murray, John I",Scotland,Y,,
1760,joannemmurray_0,"MURRAY, Murray",282772606,"Murray, John I",Scotland,Y,,
1760,bbti_50864,"NORTON, John",,,England,N,,
1760,bbti_52267,"PARAMORE, J",,"Paramore, John",England,N,,
1760,bbti_52437,"PARKER, R",,,England,N,,
1760,bbti_53060,"PAYNE, Henry",,,England,N,,
1760,8846329,"Perry, William, lecturer in the Academy at Edinburgh.",,,Scotland,Y,,
1760,46725009,"Reid, J.",,"Reid, James",Scotland,N,,
1760,bbti_58252,"RIDLEY, John",,,England,N,,
1760,68527002,"Ridley, John, -1782,",bbti_58252,,England,N,,
1760,francisrobertson_0,"ROBERTSON, Francis",,,Scotland,N,,
1760,bbti_58911,"ROBINSON, George I",,,England,Y,BBTI,
1760,williamsands_0,"SANDS, W.",,,England,N,,
1760,39467138,"Strahan, William",,,Scotland,Y,,
1760,jacobtonson_3,"TONSON, J.",,"Tonson, Jacob",England,Y,,
1760,76551088,"Vaillant, P.",,"Vaillant, Paul",England,N,,
1760,NV33138,"Wenman, J.",,"Wenman, Joseph",England,N,https://www.britishmuseum.org/collection/term/BIOG188993,
1760,29587069,"White, B.",,"White, Benjamin",England,N,,
1760,280220476,"Wilkie, J.",,,England,N,,
1760,jwilkie_1,"WILKIE, J.",,,,,,
1760,davidwillison_0,"WILLISON, David",,,England,N,,
1760,bbti_78208,"WREN, J",,,England,N,,
1780,32051268,"Balfour, J.",,,Scotland,Y,,
1780,39731889,"Beatson, Robert, 1742-1818.",,,Scotland,Y,"Book source, ",
1780,bbti_7713,"BOOKER, E",,,England,N,,
1780,southbridge_0,"BRIDGE, South",X,,,,,
1780,messrscadell_0,"CADELL, Mr",bbti_11802,"CADELL, Thomas II",England,N,,
1780,messrstcadell_0,"CADELL, Mr",bbti_11802,"CADELL, Thomas II",England,N,,
1780,NV4519,"Cadell, T. (Thomas),",,"Cadell, Thomas I",England,N,,
1780,bbti_11802,"CADELL, Thomas II",,,England,N,,
1780,17068965,"Cawthorn, George",,,England,N,,
1780,rbankclose_0,"CLOSE, R.",X,,,,,
1780,49278054,"Creech, W.",,"Creech, William",Scotland,Y,,
1780,wdavies_0,"DAVIES, W.",bbti_110966,,England,N,,
1780,bbti_110966,"DAVIES, William",,,England,N,,
1780,jamesdickson_0,"DICKSON, J.",,"Dickson, James",,,,
1780,85698879,"Dilly, C.",,,England,N,,
1780,tduncan_0,"DUNCAN, T.",,,Scotland,N,,
1780,bbti_116376,"EATON, Daniel Isaac",,,England,Y,https://en.wikipedia.org/wiki/Daniel_Isaac_Eaton,
1780,266844502,"Elliot, C.",,"Elliot, Charles",Scotland,Y,https://www.britishmuseum.org/collection/term/BIOG191543,
1780,74082943,"Elmsly, P.",,"Elmsly, Peter",Scotland,Y,http://bbti.bodleian.ox.ac.uk/details/?traderid=22530,
1780,bbti_23729,"FAULDER, Robert",,,England,N,,
1780,41745529,"Gilbert, W.",,"Gilbert, William",England,N,,
1780,willgordon_0,"GORDON, W.",,"Gordon, William",Scotland,Y,,
1780,alexanderguthrie_0,"GUTHRIE, A.",,"Guthrie, Alexander",Scotland,N,,
1780,peterhill_0,"HILL, P.",,,Scotland,Y,Sher,
